sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	circularity_status	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	repetitive_dna_id	repetitive_dna_type	filtering_reason
SRR27322009.contigs	chromosome	-	-	contig00001 len=314715 cov=51.8 corr=0 origname=NODE_1_length_314715_cov_51.806277_pilon sw=shovill-spades/1.1.0 date=20251024	314715	0.32075052031202833	3bc99b9f56ee9da9e82ca275ceb56e88	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322009.contigs	chromosome	-	-	contig00002 len=297915 cov=53.0 corr=0 origname=NODE_2_length_297915_cov_52.998529_pilon sw=shovill-spades/1.1.0 date=20251024	297915	0.32291761072789216	585ccf43b025ffb283414d3382db7cef	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322009.contigs	chromosome	-	-	contig00003 len=251806 cov=57.4 corr=0 origname=NODE_3_length_251806_cov_57.370804_pilon sw=shovill-spades/1.1.0 date=20251024	251806	0.335496374192831	9e425ba063312482aeec314d71ddeb2b	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322009.contigs	chromosome	-	-	contig00004 len=249494 cov=53.2 corr=0 origname=NODE_4_length_249494_cov_53.218398_pilon sw=shovill-spades/1.1.0 date=20251024	249494	0.3248975927276808	724be1796b9e56ed2ef18a3579fb9bda	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322009.contigs	chromosome	-	-	contig00005 len=218936 cov=54.7 corr=0 origname=NODE_5_length_218936_cov_54.651913_pilon sw=shovill-spades/1.1.0 date=20251024	218936	0.32528684181678663	129b9e46c0e7ec9705ad9b4bd4e40515	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322009.contigs	chromosome	-	-	contig00006 len=188377 cov=59.9 corr=0 origname=NODE_6_length_188377_cov_59.907964_pilon sw=shovill-spades/1.1.0 date=20251024	188377	0.34048742680900534	0516555b13c28e1d5a596bb247c7820b	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322009.contigs	chromosome	-	-	contig00007 len=157496 cov=52.6 corr=0 origname=NODE_7_length_157496_cov_52.591684_pilon sw=shovill-spades/1.1.0 date=20251024	157496	0.3227129577894042	e8d58ed82a4947f162886d8f48b5e133	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322009.contigs	chromosome	-	-	contig00008 len=138698 cov=54.7 corr=0 origname=NODE_8_length_138698_cov_54.658264_pilon sw=shovill-spades/1.1.0 date=20251024	138698	0.3280941325758122	f6490f1d602dabd99f4938f0cc986985	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322009.contigs	chromosome	-	-	contig00009 len=114655 cov=53.6 corr=0 origname=NODE_9_length_114655_cov_53.579912_pilon sw=shovill-spades/1.1.0 date=20251024	114655	0.31456107452793164	cfaaf0da278dca3ab9ad7c837763fa3b	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322009.contigs	chromosome	-	-	contig00010 len=87242 cov=51.8 corr=0 origname=NODE_10_length_87242_cov_51.774919_pilon sw=shovill-spades/1.1.0 date=20251024	87242	0.31969693496251805	a896da062fcb985a609a732f2014d3b6	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322009.contigs	chromosome	-	-	contig00011 len=83917 cov=55.9 corr=0 origname=NODE_11_length_83917_cov_55.946234_pilon sw=shovill-spades/1.1.0 date=20251024	83917	0.3318040444725145	d746848b8d7999a0eb957c92a218e7b8	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322009.contigs	chromosome	-	-	contig00012 len=72041 cov=55.1 corr=0 origname=NODE_12_length_72041_cov_55.141793_pilon sw=shovill-spades/1.1.0 date=20251024	72041	0.3258144667619828	2f09c1d077ff0fecc8c75d36876473cf	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322009.contigs	chromosome	-	-	contig00013 len=68772 cov=53.8 corr=0 origname=NODE_13_length_68772_cov_53.762059_pilon sw=shovill-spades/1.1.0 date=20251024	68772	0.3285930320479265	115015d3dead5a31feaaf56a00428271	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322009.contigs	chromosome	-	-	contig00014 len=67219 cov=55.3 corr=0 origname=NODE_14_length_67219_cov_55.302824_pilon sw=shovill-spades/1.1.0 date=20251024	67219	0.3329564557639953	0d6d4e06c53ae06f8b3c98e03346d449	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322009.contigs	chromosome	-	-	contig00015 len=55342 cov=53.8 corr=0 origname=NODE_15_length_55342_cov_53.764945_pilon sw=shovill-spades/1.1.0 date=20251024	55342	0.33067109970727476	abfe16646ecfdc4b2e8eb89ea8e5fa38	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322009.contigs	chromosome	-	-	contig00016 len=52582 cov=56.4 corr=0 origname=NODE_16_length_52582_cov_56.384809_pilon sw=shovill-spades/1.1.0 date=20251024	52582	0.33861397436385077	2c3f9f432acad80692b83ec89d05a748	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322009.contigs	chromosome	-	-	contig00017 len=40983 cov=47.6 corr=0 origname=NODE_17_length_40983_cov_47.598992_pilon sw=shovill-spades/1.1.0 date=20251024	40983	0.3109582021813923	0088665d908d59b1205a1acedbbe75fc	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322009.contigs	chromosome	-	-	contig00018 len=38876 cov=54.6 corr=0 origname=NODE_18_length_38876_cov_54.641330_pilon sw=shovill-spades/1.1.0 date=20251024	38876	0.3374575573618685	e578c073c190b1141ac625923884bcf4	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322009.contigs	chromosome	-	-	contig00019 len=32052 cov=55.5 corr=0 origname=NODE_19_length_32052_cov_55.531992_pilon sw=shovill-spades/1.1.0 date=20251024	32052	0.32852864095844253	8c50019badd03140c7dd9d62734ed4f5	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
