sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	circularity_status	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	repetitive_dna_id	repetitive_dna_type	filtering_reason
SRR27322011.contigs	chromosome	-	-	contig00001 len=693593 cov=53.5 corr=0 origname=NODE_1_length_693593_cov_53.533351_pilon sw=shovill-spades/1.1.0 date=20251024	693593	0.33582374677945137	2e61f5f1ee726f1143ea34d786eb2824	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322011.contigs	chromosome	-	-	contig00002 len=614432 cov=47.6 corr=0 origname=NODE_2_length_614432_cov_47.553131_pilon sw=shovill-spades/1.1.0 date=20251024	614432	0.32428812301442633	44f84c1579ee9e32bf4540773381ebab	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322011.contigs	chromosome	-	-	contig00003 len=325123 cov=50.2 corr=0 origname=NODE_3_length_325123_cov_50.226790_pilon sw=shovill-spades/1.1.0 date=20251024	325123	0.32588897125088045	34df7389752c2779515d50b16a1a73e6	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322011.contigs	chromosome	-	-	contig00004 len=243847 cov=47.3 corr=0 origname=NODE_4_length_243847_cov_47.348750_pilon sw=shovill-spades/1.1.0 date=20251024	243847	0.3205452599375838	5a4692558472b767b8befd0f2e7428a1	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322011.contigs	chromosome	-	-	contig00005 len=128420 cov=45.7 corr=0 origname=NODE_5_length_128420_cov_45.747438_pilon sw=shovill-spades/1.1.0 date=20251024	128420	0.3192026164148887	68f4ba88b45feefb6ebf2710c2e407a2	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322011.contigs	chromosome	-	-	contig00006 len=125234 cov=47.8 corr=0 origname=NODE_6_length_125234_cov_47.805614_pilon sw=shovill-spades/1.1.0 date=20251024	125234	0.3222128176054426	d69af71077afcf25830f233e7d8cd9a6	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322011.contigs	chromosome	-	-	contig00007 len=118920 cov=50.2 corr=0 origname=NODE_7_length_118920_cov_50.174579_pilon sw=shovill-spades/1.1.0 date=20251024	118920	0.32766565758493105	e677aa9a0c2f172e57ec663cec4a85d4	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322011.contigs	chromosome	-	-	contig00008 len=87272 cov=52.3 corr=0 origname=NODE_8_length_87272_cov_52.329464_pilon sw=shovill-spades/1.1.0 date=20251024	87272	0.33499862498854155	40bbca26b0cfdd699d95826cdc011e30	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322011.contigs	chromosome	-	-	contig00009 len=78982 cov=46.1 corr=0 origname=NODE_9_length_78982_cov_46.103662_pilon sw=shovill-spades/1.1.0 date=20251024	78982	0.314653971791041	8131486a4a960721f6a133e16918fe2d	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR27322011.contigs	chromosome	-	-	contig00010 len=68171 cov=46.1 corr=0 origname=NODE_10_length_68171_cov_46.123487_pilon sw=shovill-spades/1.1.0 date=20251024	68171	0.319549368499802	f77da89a0f2fbfcf1f684f2b4ee1fb3c	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
